area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,4,Coomee ,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,3,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,2,,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,2,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2,,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,4,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2732,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,5,,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,4,,1020,6,,370
Super built-up  Area,18-Feb,Whitefield,3,,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,2,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,2,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,2,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,3,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,3,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,2,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,2,,1767,3,1,103
Super built-up  Area,18-Nov, Thanisandra,2,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,2,,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,2,,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,3,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,2,KBityo ,1025,2,1,47
Super built-up  Area,19-Dec,Yelahanka,2,LedorSa,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,4,Prityel,1075,2,1,35
